string,occurance,result,prob
'10110000',11,p(1|10110000),0.2715683178586954
'10110001',4,p(1|10110001),0.48258725227726196
'10110010',1,p(1|10110010),0.0009400689098937795
'10110011',0,p(1|10110011),0.4842796989381589
'10110100',4,p(1|10110100),0.26470413682088223
'10110101',0,p(1|10110101),0.749532652624931
'10110110',0,p(1|10110110),0.9283330924825925
'10110111',3,p(1|10110111),0.6712551185749167
'10111000',5,p(1|10111000),0.4072953591358111
'10111001',1,p(1|10111001),0.0069701149291574935
'10111010',0,p(1|10111010),0.01173758949059795
'10111011',2,p(1|10111011),0.07382831004626207
'10111100',7,p(1|10111100),0.2891765534183189
'10111101',2,p(1|10111101),0.9999808970492496
'10111110',7,p(1|10111110),0.2862736311143882
'10111111',2,p(1|10111111),0.9827707834941588
'11000000',31,p(1|11000000),0.28851801725986914
'11000001',6,p(1|11000001),0.5077313459891819
'11000010',4,p(1|11000010),0.7239622646007124
'11000011',11,p(1|11000011),0.45480056500192634
'11000100',18,p(1|11000100),0.3306863823516445
'11000101',6,p(1|11000101),0.835470179303032
'11000110',7,p(1|11000110),0.5660032589099913
'11000111',2,p(1|11000111),0.5447628564061648
'11001000',16,p(1|11001000),0.3716620654897244
'11001001',3,p(1|11001001),0.35870762818384605
'11001010',1,p(1|11001010),0.010078966940917186
'11001011',2,p(1|11001011),0.9975063829099744
'11001100',3,p(1|11001100),0.02709735661548892
'11001101',2,p(1|11001101),0.4983283390776446
'11001110',0,p(1|11001110),0.3317356858327349
'11001111',3,p(1|11001111),0.9760961410653808
'11010000',8,p(1|11010000),0.004702699661848482
'11010001',0,p(1|11010001),0.12985567255649122
'11010010',5,p(1|11010010),0.41487686219238223
'11010011',1,p(1|11010011),0.18133991460329338
'11010100',1,p(1|11010100),0.8793114371758481
'11010101',0,p(1|11010101),0.5200851406303955
'11010110',3,p(1|11010110),0.6494222607360433
'11010111',0,p(1|11010111),0.5859638956796221
'11011000',6,p(1|11011000),0.17147291365169043
'11011001',0,p(1|11011001),0.03902497659857566
'11011010',4,p(1|11011010),0.0011440364823720778
'11011011',1,p(1|11011011),0.9951903754300039
'11011100',3,p(1|11011100),0.31812218582435803
'11011101',0,p(1|11011101),0.9839781679585875
'11011110',5,p(1|11011110),0.3898499744612838
'11011111',6,p(1|11011111),0.16965696108052747
'11100000',10,p(1|11100000),0.004717686233800964
'11100001',7,p(1|11100001),0.7148122655361634
'11100010',12,p(1|11100010),0.16868530375845506
'11100011',5,p(1|11100011),0.012969031799844039
'11100100',9,p(1|11100100),0.11263237219782606
'11100101',3,p(1|11100101),0.6628807606807308
'11100110',4,p(1|11100110),0.49257211093990966
'11100111',2,p(1|11100111),0.9949091362433417
'11101000',1,p(1|11101000),0.0021414161835908493
'11101001',0,p(1|11101001),0.17272548314481545
'11101010',0,p(1|11101010),0.0016861386455837447
'11101011',0,p(1|11101011),0.0031735996758756957
'11101100',6,p(1|11101100),0.0001470782913440456
'11101101',3,p(1|11101101),0.019341137230069357
'11101110',1,p(1|11101110),0.005271521283583016
'11101111',6,p(1|11101111),0.660835943509973
'11110000',9,p(1|11110000),0.3357939356744049
'11110001',8,p(1|11110001),0.25158117217155296
'11110010',9,p(1|11110010),0.22303162446632988
'11110011',6,p(1|11110011),0.3334379690669521
'11110100',0,p(1|11110100),0.09853739688783598
'11110101',0,p(1|11110101),0.7433013542906767
'11110110',6,p(1|11110110),0.016053077894060228
'11110111',3,p(1|11110111),0.9867387217297529
'11111000',5,p(1|11111000),0.026664974142900207
'11111001',8,p(1|11111001),0.3758555932990478
'11111010',0,p(1|11111010),0.05086288779259113
'11111011',5,p(1|11111011),0.3964207207481587
'11111100',6,p(1|11111100),0.18787545782440568
'11111101',2,p(1|11111101),0.99998450137958
'11111110',7,p(1|11111110),0.2842864222394925
'11111111',10,p(1|11111111),0.5026157150059121
'000000000',4448,p(1|000000000),0.029901304758869884
'000000001',153,p(1|000000001),0.1242329841828832
'000000010',142,p(1|000000010),0.042272543045560156
'000000011',25,p(1|000000011),0.43912263490775444
'000000100',148,p(1|000000100),0.22300841633507626
'000000101',8,p(1|000000101),0.12533100189206176
'000000110',19,p(1|000000110),0.0017951879690203175
'000000111',11,p(1|000000111),0.27437647839737334
'000001000',120,p(1|000001000),0.09164742077915955
'000001001',38,p(1|000001001),0.21044490112958908
'000001010',7,p(1|000001010),0.14108398849474207
'000001011',1,p(1|000001011),0.041378794252838254
'000001100',31,p(1|000001100),0.22603534373708567
'000001101',4,p(1|000001101),0.7228665897015354
'000001110',10,p(1|000001110),0.29801986165794714
'000001111',5,p(1|000001111),0.3899034021552241
'000010000',120,p(1|000010000),0.09167400408028556
'000010001',11,p(1|000010001),0.09085791842757529
'000010010',32,p(1|000010010),0.49948534415239293
'000010011',8,p(1|000010011),0.37246632033826144
'000010100',9,p(1|000010100),0.0002937095559419149
'000010101',1,p(1|000010101),0.02676673496192968
'000010110',5,p(1|000010110),1.2572857339800516e-05
'000010111',1,p(1|000010111),0.11630107135594021
'000011000',24,p(1|000011000),0.4157782914602047
'000011001',8,p(1|000011001),0.0002370919938571216
'000011010',7,p(1|000011010),0.28521693308039864
'000011011',4,p(1|000011011),0.5008353723005865
'000011100',10,p(1|000011100),0.10003653585653724
'000011101',3,p(1|000011101),0.9778145069830916
'000011110',7,p(1|000011110),0.0034849860025833413
'000011111',2,p(1|000011111),0.48212929299888696
'000100000',134,p(1|000100000),0.07474118047840707
'000100001',14,p(1|000100001),0.2843724556330619
'000100010',11,p(1|000100010),0.004082584878466291
'000100011',1,p(1|000100011),0.19087381994788655
'000100100',20,p(1|000100100),0.10064520651195677
'000100101',16,p(1|000100101),0.0020580721322111376
'000100110',7,p(1|000100110),0.14227074541648016
'000100111',3,p(1|000100111),0.051522895716381
'000101000',10,p(1|000101000),0.30184683176525967
'000101001',0,p(1|000101001),0.3988869418605009
'000101010',1,p(1|000101010),8.979436574114615e-05
'000101011',0,p(1|000101011),0.0018590909343887206
'000101100',8,p(1|000101100),0.00012930598691178357
'000101101',0,p(1|000101101),0.9250383915274103
'000101110',3,p(1|000101110),0.642380923308111
'000101111',3,p(1|000101111),0.6450324595867238
'000110000',19,p(1|000110000),0.15868273651365908
'000110001',10,p(1|000110001),0.10200124362962876
'000110010',8,p(1|000110010),4.749668025114315e-06
'000110011',0,p(1|000110011),0.49794952594845554
'000110100',8,p(1|000110100),0.6223794317463264
'000110101',3,p(1|000110101),0.674239460094168
'000110110',2,p(1|000110110),0.9987807142388344
'000110111',2,p(1|000110111),0.967092271727924
'000111000',9,p(1|000111000),0.5564087736779958
'000111001',1,p(1|000111001),0.0009091454255422817
'000111010',1,p(1|000111010),0.0006250787302685298
'000111011',3,p(1|000111011),0.6775838498531688
'000111100',11,p(1|000111100),0.3650140056981518
'000111101',1,p(1|000111101),0.9999955916267498
'000111110',2,p(1|000111110),0.04307500028201716
'000111111',1,p(1|000111111),0.961918417657017
'001000000',139,p(1|001000000),0.0719266086749667
'001000001',20,p(1|001000001),0.7001147646291624
'001000010',14,p(1|001000010),0.35585072687390323
'001000011',4,p(1|001000011),0.4998255227342634
'001000100',11,p(1|001000100),7.912547501421175e-05
'001000101',2,p(1|001000101),0.9985558153995693
'001000110',1,p(1|001000110),0.013226467228388245
'001000111',5,p(1|001000111),0.9994975568145338
'001001000',18,p(1|001001000),0.05549927992744018
'001001001',3,p(1|001001001),0.677822787415781
'001001010',16,p(1|001001010),0.06218583949243984
'001001011',2,p(1|001001011),0.9998260267146495
'001001100',7,p(1|001001100),0.4283510298939639
'001001101',1,p(1|001001101),0.11499884747945645
'001001110',3,p(1|001001110),0.6363567201406901
'001001111',4,p(1|001001111),0.7400761377645778
'001010000',14,p(1|001010000),0.21395726368736231
